confirmed_agent_mean_4w,confirmed_agent_mean_8w,confirmed_gt_mean,confirmed_agent_mean_ori,confirmed_agent_mean_det,death_agent_mean_4w,death_agent_mean_8w,death_gt_mean,death_agent_mean_ori,death_agent_mean_det
366502.3333,363139,290687,364733,367082.6667,9819.333333,9816,14472,9800,9850.666667
376004.3333,371374,298109,373044.6667,375606,10058.33333,10050,14853,10035.33333,10089
386267.3333,380230,305506,381985.3333,384778,10301,10289,15200,10273.33333,10333
396613,388823,313812,390659.3333,393789,10550.66667,10530,15545,10516.33333,10578.66667
407856.3333,398059,321366,399988,403435,10806.33333,10776,15811,10761.66667,10830.66667
417590.3333,407075,328786,409094.3333,412547.3333,11068.66667,11028,16031,11012.66667,11086.33333
427809,416440,335623,418528.6667,422092,11334.33333,11284,16270,11267,11347.66667
437930.3333,425625,342851,427777,431427,11604.66667,11542,16577,11526.33333,11611.66667
448518,435162,350531,437398,441228.6667,11877.66667,11803,16934,11789.66667,11878
459200.6667,444651,358370,446962.6667,451005.6667,12155,12069,17251,12058,12148
470529.3333,454552,366198,456956.6667,461446.6667,12437,12337,17551,12329.66667,12421.66667
482184,464566,373235,467073.6667,471993.3333,12725.33333,12610,17798,12607.66667,12700.33333
492636.6667,475030,380047,477645.3333,482945,13021.33333,12889,18021,12890.33333,12986.33333
503003,485340,387036,488053.3333,493472.3333,13321,13174,18200,13179.33333,13278
513607.3333,495839,394402,498652.3333,504119,13626.33333,13461,18440,13471.66667,13575.33333
524122.6667,506224,402198,509112,514639.6667,13934,13753,18727,13767,13875.66667
534875.3333,516841,410492,519829.6667,525501.6667,14245.66667,14048,19050,14065,14177.33333
545562.3333,527473,419156,530549.6667,536624.3333,14558.66667,14345,19352,14368.33333,14485
556616.6667,538527,427488,541719.3333,548260.3333,14876.33333,14649,19609,14676,14796
566711.3333,549623,434895,552929.3333,559449.6667,15198.66667,14957,19829,14985.66667,15112.66667
576776,560756,442286,564159.3333,570637.3333,15522.66667,15267,20039,15299.66667,15433.33333
586764.6667,571890,449668,575365.3333,581770.6667,15848,15579,20283,15616.66667,15755
596738.3333,583163,459652,586713.6667,593157.6667,16174.66667,15898,20552,15936.66667,16081.33333
606830.3333,594576,472588,598183.3333,604687,16504.66667,16220,20874,16260,16410.33333
616798,606172,485841,609857.3333,616733,16836,16545,21179,16586.33333,16743.33333
626777,618033,497043,621787.3333,629074.3333,17170,16874,21432,16917,17080.66667
639168.3333,628883,504973,633976.6667,641224.3333,17506.33333,17209,21594,17253.33333,17421.66667
651477,639636.5,513401,645987.6667,653171,17846,17545.5,21766,17593.66667,17766.33333
663768.3333,650444.5,522592,658090.3333,665208,18190.66667,17885.25,21973,17936.33333,18111.66667
676086.6667,661196.75,532354,670131.3333,677294.3333,18539,18228,22221,18281.33333,18460.33333
688567.6667,671957.75,542875,682350.6667,689670,18891,18572.25,22456,18630.33333,18811.66667
701293,682542.25,553179,694666.6667,702464.6667,19247.33333,18919.75,22669,18985,19169
714323.3333,693238.5,563139,707351,715711.6667,19608.33333,19271.25,22834,19342.66667,19529.33333
728348,703959.5,572558,720310.6667,728635.3333,19975,19626.5,22962,19704.33333,19895
742225.6667,714775.75,582638,733198.3333,741287.3333,20347,19982.75,23116,20070.66667,20264.66667
756109,725467.25,594097,745927,753817.6667,20724,20340.25,23302,20440,20637
770106,735993.5,606483,758706,766543,21103.33333,20698.75,23526,20811.33333,21011
784406.6667,746479.75,619934,771613,779459.3333,21485.66667,21057.75,23752,21185,21387
799058.6667,756661.5,634002,784667.6667,792894,21873,21418,23969,21561.33333,21766
814232,766742,647507,798002.3333,806640.3333,22265.33333,21779.5,24131,21941,22148.66667
829594.3333,777831.25,660658,811627.6667,820140.6667,22664.66667,22141.25,24254,22325.33333,22536.33333
844823.3333,788925.25,675082,825106,833250,23067,22504.5,24392,22714,22926.66667
860059.6667,800030.5,691111,838610,846490,23474,22867.25,24585,23104.66667,23318
875412.3333,810972.75,708696,852062.6667,859753.6667,23883.66667,23231.25,24812,23495.33333,23711
891132.3333,821942.25,727788,865753.3333,873403.6667,24295.66667,23595.5,25035,23888.66667,24104.33333
907194.6667,832719.5,747240,879517.6667,887385.6667,24712.33333,23960.5,25255,24285.33333,24499.66667
923638,843434.25,766464,893511,901729,25133.33333,24327,25446,24685.66667,24899
936116.3333,854719.75,784429,907714,915683.3333,25562,24693.25,25603,25089,25302.33333
948531,866095.25,804309,921881.3333,929420.6667,25987.66667,25059.5,25769,25495.66667,25707.66667
960902.6667,877367.25,825672,936005.6667,943198.3333,26411.33333,25426.75,25983,25903,26114
972812.3333,888502.5,847872,950169.3333,957167.3333,26834.66667,25793.75,26249,26313.33333,26522.33333
984363.6667,899368.5,870463,964387.3333,971493,27255.33333,26160,26511,26725,26932.33333
995430,910118.25,891820,978927.3333,986425,27674.66667,26527.5,26723,27141.33333,27347
1007121.667,921166.5,913104,993826,1001257,28092.66667,26895.25,26894,27560.66667,27767.66667
1020614,934141.5,933145,1008726,1015524.667,28509.33333,27262.5,27031,27983.33333,28190.66667
1034173,947284.5,954940,1023680.333,1029818,28928,27632,27248,28409,28614
1047553.667,960292.5,979053,1038418,1043945.333,29348,28002.75,27529,28836.66667,29037.66667
1060963,973338.75,1005657,1053190.333,1058205.667,29768.66667,28373.5,27898,29264.66667,29462.33333
1074243.667,986380.75,1034445,1067905.667,1072536.667,30189,28744.25,28239,29693,29886.66667
